task_id,row_type,sheet,row_number,record_id,name,priority_score,source_hint
DRUG_0042,drug,Drug_Label_Links,42,Nyst Oral,Nyst Oral,60,"DRUG_BDS045631 | Nyst Oral | Nystatin 100,000 Unit/1 ml. | nystatin oral | Antifungals (oral/topical) | ยาต้านเชื้อรา (D) | bottle | 1 ml | topical_antifungal | N | Check | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nystatin+oral | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=nystatin%20oral&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.xml?drug_name=nystatin%20oral&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v1/drugname/nystatin%20oral/human/spls.json | https://dailymed.nlm.nih.gov/dailymed/services/v2/drugnames.json?drug_name=nystatin%20oral&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/{SETID}.xml | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22nystatin%20oral%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files | https://"
DRUG_0068,drug,Drug_Label_Links,68,B.Roxi,B.Roxi,60,DRUG_BDS007066 | B.Roxi | Roxithromycin 150 mg. | roxithromycin | Respiratory antibiotics | ยาฆ่าเชื้อแบคทีเรียทางเดินหายใจ (D) | tablet/capsule | 150 mg | systemic_antibiotic | Y | Adult/older child only - verify | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=roxithromycin | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=roxithromycin&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.xml?drug_name=roxithromycin&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v1/drugname/roxithromycin/human/spls.json | https://dailymed.nlm.nih.gov/dailymed/services/v2/drugnames.json?drug_name=roxithromycin&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/{SETID}.xml | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22roxithromycin%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.fda.gov/drugs/drug-approvals-and-databas
DRUG_0076,drug,Drug_Label_Links,76,Canesten Cream 10 g,Canesten Cream 10 g,60,DRUG_BDS001489 | Canesten Cream 10 g | Clotrimazole 1 g./100 g. | clotrimazole cream |  | ยาทาฆ่าเชี้อรา | topical | 1 g | topical_antifungal | N | Check | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=clotrimazole+cream | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=clotrimazole%20cream&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.xml?drug_name=clotrimazole%20cream&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v1/drugname/clotrimazole%20cream/human/spls.json | https://dailymed.nlm.nih.gov/dailymed/services/v2/drugnames.json?drug_name=clotrimazole%20cream&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/{SETID}.xml | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22clotrimazole%20cream%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-fil
DRUG_0077,drug,Drug_Label_Links,77,Fungasin Cream เล็ก,Fungasin Cream เล็ก,60,DRUG_BDS007542 | Fungasin Cream เล็ก | Ketoconazole 20 mg./1 g. | ketoconazole cream |  | ยาทาฆ่าเชี้อรา | topical | 20 mg | topical_antifungal | N | Check | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ketoconazole+cream | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=ketoconazole%20cream&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.xml?drug_name=ketoconazole%20cream&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v1/drugname/ketoconazole%20cream/human/spls.json | https://dailymed.nlm.nih.gov/dailymed/services/v2/drugnames.json?drug_name=ketoconazole%20cream&name_type=both&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/{SETID}.xml | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22ketoconazole%20cream%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-f
PRODUCT_0643,product,Product_Label_Links,643,1475,Counterpain Cool กลาง,65,642 | 1475 | Counterpain Cool กลาง | Menthol 4% | Counterpain Cool กลาง (60 g.) | ยาทาและยาพ่นแก้ปวดเมื่อย  | หลอด 60 g. |  | Menthol 4 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Counterpain+Cool+%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Menthol+4 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Counterpain%20Cool%20%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Menthol%204&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Counterpain%20Cool%20%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Menthol%204%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Menthol+4 | https://www.medicines.org.uk/emc/search?q=Counterpai
PRODUCT_0644,product,Product_Label_Links,644,1474,Counterpain Cool เล็ก,65,643 | 1474 | Counterpain Cool เล็ก | Menthol 4% | Counterpain Cool เล็ก (30 g.) | ยาทาและยาพ่นแก้ปวดเมื่อย  | หลอด 30 g. |  | Menthol 4 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Counterpain+Cool+%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%81 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Menthol+4 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Counterpain%20Cool%20%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%81&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Menthol%204&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Counterpain%20Cool%20%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%81%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Menthol%204%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Menthol+4 | https://www.medicines.org.uk/emc/search?q=Counterpai
PRODUCT_0645,product,Product_Label_Links,645,1476,Counterpain Cool ใหญ่,65,644 | 1476 | Counterpain Cool ใหญ่ | Menthol 4% | Counterpain Cool ใหญ่ (120 g.) | ยาทาและยาพ่นแก้ปวดเมื่อย  | หลอด 120 g. |  | Menthol 4 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Counterpain+Cool+%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Menthol+4 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Counterpain%20Cool%20%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Menthol%204&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Counterpain%20Cool%20%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Menthol%204%22&limit=10 | https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm | https://www.ema.europa.eu/en/medicines?search_api_fulltext=Menthol+4 | https://www.medicines.org.uk/emc/search?q=Counterp
PRODUCT_0646,product,Product_Label_Links,646,1472,Counterpain กลาง,65,645 | 1472 | Counterpain กลาง | Methyl Salicylate 10.2%+Eugenol 1.36%+Menthol 5.44% | Counterpain กลาง (60 g.) | ยาทาและยาพ่นแก้ปวดเมื่อย  | หลอด 60 g. |  | Methyl Salicylate 10 2 +Eugenol 1 36 +Menthol 5 44 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Counterpain+%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Methyl+Salicylate+10+2+%2BEugenol+1+36+%2BMenthol+5+44 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Counterpain%20%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Methyl%20Salicylate%2010%202%20%2BEugenol%201%2036%20%2BMenthol%205%2044&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Counterpain%20%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Methyl%20Salicylate%2010%202%20%2BEugenol%201%2036
PRODUCT_0647,product,Product_Label_Links,647,1471,Counterpain เล็ก,65,646 | 1471 | Counterpain เล็ก | Menthol 5.44%+Methyl Salicylate 10.2%+Eugenol 1.36% | Counterpain เล็ก (30 g.) | ยาทาและยาพ่นแก้ปวดเมื่อย  | หลอด 30 g. |  | Menthol 5 44 +Methyl Salicylate 10 2 +Eugenol 1 36 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Counterpain+%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%81 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Menthol+5+44+%2BMethyl+Salicylate+10+2+%2BEugenol+1+36 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Counterpain%20%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%81&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Menthol%205%2044%20%2BMethyl%20Salicylate%2010%202%20%2BEugenol%201%2036&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Counterpain%20%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%81%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Menthol%205%2044%20%2BMethyl%20Salicylate%2010%202
PRODUCT_0648,product,Product_Label_Links,648,1473,Counterpain ใหญ่,65,647 | 1473 | Counterpain ใหญ่ | Menthol 5.44%+Methyl Salicylate 10.2%+Eugenol 1.36% | Counterpain ใหญ่ (120 g.) | ยาทาและยาพ่นแก้ปวดเมื่อย  | หลอด 120 g. |  | Menthol 5 44 +Methyl Salicylate 10 2 +Eugenol 1 36 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Counterpain+%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88 | https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=Menthol+5+44+%2BMethyl+Salicylate+10+2+%2BEugenol+1+36 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Counterpain%20%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88&name_type=brand&pagesize=100 | https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=Menthol%205%2044%20%2BMethyl%20Salicylate%2010%202%20%2BEugenol%201%2036&name_type=both&pagesize=100 | https://api.fda.gov/drug/label.json?search=openfda.brand_name:%22Counterpain%20%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88%22&limit=10 | https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22Menthol%205%2044%20%2BMethyl%20Salicylate%2010%2
