gap_id,entity_type,entity_id,required_source_priority,status,manual_review,queue_type,source_file,source_runtime_path,affected_products,todo_id,source_id_suggestion,title_query,organization_target,clinical_domain,related_drugs,related_complaints,evidence_needed,preferred_source_type,search_query,priority,review_status,source_url_candidates,notes,missing_item,review_note
GAP_DISEASE_ALLERGIC_RHINITIS,disease,allergic_rhinitis,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[0],,,,,,,,,,,,,,,,,
GAP_DISEASE_URI_WET_COUGH,disease,uri_wet_cough,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[1],,,,,,,,,,,,,,,,,
GAP_DISEASE_URI_DRY_COUGH,disease,uri_dry_cough,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[2],,,,,,,,,,,,,,,,,
GAP_DISEASE_SORE_THROAT,disease,sore_throat,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[3],,,,,,,,,,,,,,,,,
GAP_DISEASE_FEVER_MYALGIA,disease,fever_myalgia,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[4],,,,,,,,,,,,,,,,,
GAP_DISEASE_DIARRHEA_ADULT,disease,diarrhea_adult,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[5],,,,,,,,,,,,,,,,,
GAP_DISEASE_DIARRHEA_CHILD,disease,diarrhea_child,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[6],,,,,,,,,,,,,,,,,
GAP_DISEASE_NAUSEA_VOMITING,disease,nausea_vomiting,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[7],,,,,,,,,,,,,,,,,
GAP_DISEASE_DYSPEPSIA,disease,dyspepsia,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[8],,,,,,,,,,,,,,,,,
GAP_DISEASE_GERD,disease,gerd,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[9],,,,,,,,,,,,,,,,,
GAP_DISEASE_CONSTIPATION,disease,constipation,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[10],,,,,,,,,,,,,,,,,
GAP_DISEASE_DRY_EYE,disease,dry_eye,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[11],,,,,,,,,,,,,,,,,
GAP_DISEASE_RED_EYE,disease,red_eye,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[12],,,,,,,,,,,,,,,,,
GAP_DISEASE_BACTERIAL_CONJUNCTIVITIS,disease,bacterial_conjunctivitis,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[13],,,,,,,,,,,,,,,,,
GAP_DISEASE_ALLERGIC_CONJUNCTIVITIS,disease,allergic_conjunctivitis,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[14],,,,,,,,,,,,,,,,,
GAP_DISEASE_EYELID_BUMP,disease,eyelid_bump,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[15],,,,,,,,,,,,,,,,,
GAP_DISEASE_PTERYGIUM,disease,pterygium,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[16],,,,,,,,,,,,,,,,,
GAP_DISEASE_TINEA,disease,tinea,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[17],,,,,,,,,,,,,,,,,
GAP_DISEASE_DERMATITIS,disease,dermatitis,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[18],,,,,,,,,,,,,,,,,
GAP_DISEASE_HERPES_LABIALIS,disease,herpes_labialis,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[19],,,,,,,,,,,,,,,,,
GAP_DISEASE_APHTHOUS_ULCER,disease,aphthous_ulcer,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[20],,,,,,,,,,,,,,,,,
GAP_DISEASE_URTICARIA,disease,urticaria,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[21],,,,,,,,,,,,,,,,,
GAP_DISEASE_DYSURIA,disease,dysuria,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[22],,,,,,,,,,,,,,,,,
GAP_DISEASE_URINARY_FREQUENCY,disease,urinary_frequency,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[23],,,,,,,,,,,,,,,,,
GAP_DISEASE_DYSMENORRHEA,disease,dysmenorrhea,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[24],,,,,,,,,,,,,,,,,
GAP_DISEASE_MIGRAINE_HEADACHE,disease,migraine_headache,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[25],,,,,,,,,,,,,,,,,
GAP_DISEASE_VERTIGO,disease,vertigo,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[26],,,,,,,,,,,,,,,,,
GAP_DISEASE_MSK_PAIN,disease,msk_pain,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[27],,,,,,,,,,,,,,,,,
GAP_DISEASE_MINOR_WOUND,disease,minor_wound,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[28],,,,,,,,,,,,,,,,,
GAP_DISEASE_ANIMAL_BITE,disease,animal_bite,1; 2; 3; 4; 5; 6,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[29],,,,,,,,,,,,,,,,,
GAP_TAG_ALLERGY,drug_role_tag,allergy,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[30],35,,,,,,,,,,,,,,,,
GAP_TAG_ANTIBIOTIC,drug_role_tag,antibiotic,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[31],93,,,,,,,,,,,,,,,,
GAP_TAG_COUGH_COLD,drug_role_tag,cough_cold,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[32],48,,,,,,,,,,,,,,,,
GAP_TAG_EYE,drug_role_tag,eye,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[33],274,,,,,,,,,,,,,,,,
GAP_TAG_PAIN_FEVER,drug_role_tag,pain_fever,1; 2; 3; 4; 5; 6; 7,pending_access,True,source_gap,data/guidelines/source_gap_list.json,data/guidelines/source_gap_list.json:items[34],78,,,,,,,,,,,,,,,,
